name;link;salary_min;salary_max;salary_currency
Senior Machine Learning Engineer;https://spb.hh.ru/vacancy/50206290?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;300000.0;400000.0;руб.
Python-разработчик в области AI/ML;https://spb.hh.ru/vacancy/50737144?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;80000.0;150000.0;руб.
Backend-разработчик: Python API;https://spb.hh.ru/vacancy/50703850?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;250000.0;300000.0;руб.
Разработчик Python;https://spb.hh.ru/vacancy/50452376?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Middle C++ and Python Developer;https://spb.hh.ru/vacancy/50560990?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;220000.0;руб.
Разработчик Python Middle/Senior;https://spb.hh.ru/vacancy/50387434?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;2000.0;;USD
Разработчик Python;https://spb.hh.ru/vacancy/50223853?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Product/Data Analyst (Junior);https://spb.hh.ru/vacancy/50650604?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;1000.0;USD
Python Back-end Developer;https://spb.hh.ru/vacancy/50113432?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Discord Bot Developer (Python);https://spb.hh.ru/vacancy/50300258?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;1000.0;1500.0;EUR
Программист Python / Python developer;https://spb.hh.ru/vacancy/48239095?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Лингвист-разработчик;https://spb.hh.ru/vacancy/48535218?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;140000.0;;руб.
Data analyst (Аналитик данных);https://spb.hh.ru/vacancy/50767547?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Junior/Python BackEnd Developer;https://spb.hh.ru/vacancy/49462767?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Разработчик на Python;https://spb.hh.ru/vacancy/50749149?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Senior Python developer;https://spb.hh.ru/vacancy/50103994?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;250000.0;;руб.
Python Developer (Data);https://spb.hh.ru/vacancy/50366720?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Junior QA Automation (стажер);https://spb.hh.ru/vacancy/50347566?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Python (Django) Backend developer;https://spb.hh.ru/vacancy/49139962?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;270000.0;руб.
Программист C;https://spb.hh.ru/vacancy/50456527?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;300000.0;400000.0;руб.
Разработчик на Python;https://spb.hh.ru/vacancy/50749150?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Python developer;https://spb.hh.ru/vacancy/50765553?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Программист Python/PHP/MySQL;https://spb.hh.ru/vacancy/49954913?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;1290.0;2490.0;бел. руб.
Data Analyst;https://spb.hh.ru/vacancy/50325279?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;100000.0;200000.0;руб.
Python-разработчик;https://spb.hh.ru/vacancy/48578143?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;80000.0;;руб.
Quantitative Researcher;https://spb.hh.ru/vacancy/48381018?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;250000.0;;руб.
Data analyst;https://spb.hh.ru/vacancy/50737051?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Доцент (машинное обучение, программирование, информационные технологии, математика);https://spb.hh.ru/vacancy/50540635?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;100000.0;250000.0;руб.
Python Developer;https://spb.hh.ru/vacancy/50264937?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Python разработчик (проекты);https://spb.hh.ru/vacancy/49755349?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Стажёр web-разработчик;https://spb.hh.ru/vacancy/50106682?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Data Analyst;https://spb.hh.ru/vacancy/50677037?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Python разработчик (middle/senior);https://spb.hh.ru/vacancy/43961654?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Аналитик-стажёр (продуктовый аналитик);https://spb.hh.ru/vacancy/50712814?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Разработчик C# / Python;https://spb.hh.ru/vacancy/49749758?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;200000.0;;руб.
